momentum_p,rho_p_initial,rho_p_final
5.494353e+00,2.258860e-01,7.839410e-03
5.572844e+00,1.155739e-01,7.299428e-03
5.651335e+00,5.358215e-02,6.555080e-03
5.729825e+00,2.250977e-02,5.659541e-03
5.808316e+00,8.568651e-03,4.436433e-03
5.886807e+00,2.955590e-03,2.596245e-03
5.965298e+00,9.237752e-04,9.182589e-04
6.043788e+00,2.616247e-04,2.250484e-04
6.122279e+00,6.714005e-05,4.826321e-05
6.200770e+00,1.561259e-05,9.881502e-06
6.279261e+00,3.289717e-06,1.952861e-06
6.357752e+00,6.281054e-07,3.695535e-07
6.436242e+00,1.086668e-07,6.626356e-08
6.514733e+00,1.703537e-08,1.114822e-08
6.593224e+00,2.419897e-09,1.743007e-09
6.671715e+00,3.114816e-10,2.503313e-10
6.750205e+00,3.632940e-11,3.241572e-11
6.828696e+00,3.839499e-12,3.638771e-12
6.907187e+00,3.676895e-13,3.189221e-13
6.985678e+00,3.190644e-14,1.582592e-14
7.064168e+00,2.508798e-15,2.665917e-15
7.142659e+00,1.787490e-16,4.730512e-15
7.221150e+00,1.154016e-17,4.741555e-15
7.299641e+00,6.751036e-19,3.964419e-15
7.378131e+00,3.578653e-20,3.143453e-15
7.456622e+00,1.718929e-21,2.440370e-15
7.535113e+00,7.481406e-23,1.863338e-15
7.613604e+00,2.950307e-24,1.394388e-15
7.692094e+00,1.053813e-25,1.015607e-15
7.770585e+00,3.396282e-27,7.133098e-16
7.849076e+00,9.721558e-29,4.768322e-16
7.927567e+00,2.251461e-30,2.968662e-16
8.006057e+00,3.493305e-32,1.657088e-16
8.084548e+00,4.001976e-33,7.682836e-17
8.163039e+00,2.361082e-33,2.396058e-17
8.241530e+00,2.112937e-34,1.605685e-18
8.320021e+00,1.858073e-32,4.810095e-18
8.398511e+00,3.271562e-32,2.902791e-17
8.477002e+00,1.905374e-32,7.019842e-17
8.555493e+00,1.763873e-32,1.245634e-16
8.633984e+00,2.120758e-33,1.890054e-16
8.712474e+00,8.584320e-33,2.604688e-16
8.790965e+00,2.326555e-33,3.365027e-16
8.869456e+00,1.395525e-32,4.148664e-16
8.947947e+00,1.504032e-32,4.936011e-16
9.026437e+00,2.973967e-32,5.711411e-16
9.104928e+00,3.897389e-32,6.460378e-16
9.183419e+00,3.561490e-32,7.172193e-16
9.261910e+00,3.511638e-32,7.837047e-16
9.340400e+00,3.618031e-32,8.448346e-16
9.418891e+00,3.288483e-32,8.999921e-16
9.497382e+00,9.716724e-33,9.488774e-16
9.575873e+00,1.089254e-32,9.911586e-16
9.654363e+00,7.690006e-33,1.026808e-15
9.732854e+00,1.055414e-32,1.055758e-15
9.811345e+00,4.429600e-32,1.078127e-15
9.889836e+00,5.722384e-32,1.094127e-15
9.968326e+00,3.556628e-32,1.103897e-15
1.004682e+01,2.267767e-32,1.107938e-15
1.012531e+01,3.079926e-32,1.106330e-15
1.020380e+01,8.808195e-33,1.099795e-15
1.028229e+01,2.487481e-32,1.088417e-15
1.036078e+01,5.517383e-33,1.072921e-15
1.043927e+01,1.961736e-32,1.053585e-15
1.051776e+01,2.034320e-32,1.030900e-15
1.059625e+01,5.593400e-32,1.005420e-15
1.067474e+01,4.969078e-32,9.774238e-16
1.075323e+01,4.810667e-32,9.475087e-16
1.083172e+01,1.694082e-32,9.160229e-16
1.091022e+01,1.775220e-32,8.833336e-16
1.098871e+01,1.040609e-32,8.499196e-16
1.106720e+01,1.269443e-32,8.160566e-16
1.114569e+01,3.744173e-32,7.820665e-16
1.122418e+01,5.252446e-32,7.483279e-16
1.130267e+01,5.043664e-32,7.150323e-16
1.138116e+01,4.810167e-32,6.824164e-16
1.145965e+01,2.341689e-32,6.507716e-16
1.153814e+01,2.180423e-32,6.201948e-16
1.161663e+01,5.486523e-32,5.908304e-16
1.169512e+01,4.607622e-32,5.628839e-16
1.177361e+01,1.786458e-32,5.363757e-16
1.185210e+01,1.694490e-32,5.113513e-16
1.193060e+01,3.503238e-32,4.879355e-16
1.200909e+01,4.538610e-32,4.661023e-16
1.208758e+01,3.834965e-32,4.458044e-16
1.216607e+01,5.646385e-32,4.270856e-16
1.224456e+01,2.973614e-32,4.099036e-16
1.232305e+01,3.173875e-32,3.941479e-16
1.240154e+01,7.385755e-32,3.797766e-16
1.248003e+01,7.269922e-32,3.667414e-16
1.255852e+01,3.751394e-32,3.549186e-16
1.263701e+01,2.858796e-32,3.441955e-16
1.271550e+01,2.394180e-32,3.344981e-16
