time,norm,energy
1.312500e+01,1.000000e+00,1.226916e+01
1.320000e+01,1.000000e+00,1.226916e+01
1.327500e+01,1.000000e+00,1.226916e+01
1.335000e+01,1.000000e+00,1.226916e+01
1.342500e+01,1.000000e+00,1.226916e+01
1.350000e+01,1.000000e+00,1.226916e+01
1.357500e+01,1.000000e+00,1.226916e+01
1.365000e+01,1.000000e+00,1.226916e+01
1.372500e+01,1.000000e+00,1.226916e+01
1.380000e+01,1.000000e+00,1.226916e+01
1.387500e+01,1.000000e+00,1.226916e+01
1.395000e+01,1.000000e+00,1.226916e+01
1.402500e+01,1.000000e+00,1.226916e+01
1.410000e+01,1.000000e+00,1.226916e+01
1.417500e+01,1.000000e+00,1.226916e+01
1.425000e+01,1.000000e+00,1.226916e+01
1.432500e+01,1.000000e+00,1.226916e+01
1.440000e+01,1.000000e+00,1.226916e+01
1.447500e+01,1.000000e+00,1.226916e+01
1.455000e+01,1.000000e+00,1.226916e+01
1.462500e+01,1.000000e+00,1.226916e+01
1.470000e+01,1.000000e+00,1.226916e+01
1.477500e+01,1.000000e+00,1.226916e+01
1.485000e+01,1.000000e+00,1.226916e+01
1.492500e+01,1.000000e+00,1.226916e+01
1.500000e+01,1.000000e+00,1.226916e+01
